COD_BARRAS;PRODUTO_ID;NOMEORDER;FORNECEDOR;LOCALIZACAO;TRIBUTACAO;NCM;ALIQUOTA_NCM;CST_PIS;CST_COFINS;NATUREZA_RECEITA_PIS_COFINS;PADRAO_COMISSAO;DESCONTO_MAXIMO;QUANTIDADEORDER;TABELA;VENDA;PROMOCAO;VALOR_ULT_COMPRA;MARGEM;TOTAL_PRVENDA;TOTAL_PRPROMOCAO;TOTAL_PRCOMPRA
7896261016392;30478;ONBRIZE;NOVARTIS;;ST;30049069;0;04;04;002;0;15;0;;64,3099975585938;0;30,1000003814697;113,654474231118;0;0;0
7896261016385;30479;ONBRIZE 150 MCG PO CX C/30 CAPS + 1 INALADOR;NOVARTIS/ V+SAUDE;;ST;30049069;32,09;04;04;002;0;50;0;202,28;202,279998779297;0;64,0100021362305;216,013110496061;0;0;0
7897917002271;28688;ONCIBEL;BELFARLTDA.;;ST;30042099;32,09;04;04;002;0;10;0;;44,5;0;18,6499996185303;138,605903003803;0;0;0
7899095203686;27505;ONCICREM-A ORABASE 1 MG/G BG 10 G;GEOLAB IND. FARMACEUTICA LTDA;;ST;30043290;32,09;04;04;002;0;10;0;20,12;20,1200008392334;10,8999996185303;4,44999980926514;144,943822151091;0;0;0
7896004722689;31529;ONCILEG A (TRIANCINOLONA) 1 MG/G BG 30 G;LEGRAND / EMS;;ST;30043290;32,09;04;04;002;0;0;0;17,45;17,4500007629395;12;4,48299980163574;167,677906111472;0;0;0
7896004709178;19066;ONCILEG CREME 30G;LEGRAND / EMS;;ST;30043999;26,33;04;04;002;0;10;0;42,03;42,0299987792969;0;12,8400001525879;227,336435201099;0;0;0
7896004709161;19067;ONCILEG POMADA 30G;LEGRAND / EMS;;ST;30043999;26,33;04;04;002;0;10;0;41,28;41,2799987792969;0;12,0699996948242;242,004969536149;0;0;0
7892953204511;30901;ONCOTECAN;ZODIAC;;ST;30049099;0;04;04;002;0;10;0;;986;0;766,460021972656;28,6433697431875;0;0;0
;8346;ONDANSETRON 8MG SOL INJ 5 AMP/4 ML;LIBRA;;ST;30049069;0;04;04;002;0;10;0;;51,939998626709;0;37,1599998474121;39,773947362721;0;0;0
7899095204126;48686;ONDANSETRONA 4MG 10CPR GEO;GEOLAB IND. FARMACEUTICA LTDA;;ST;30049069;0;04;04;002;0;10;0;25,86;25,8600006103516;0;18,5300006866455;39,557472488324;0;0;0
7896004821627;47552;ONDANSETRONA CLOR 8MG 10CPS GEN / GERMED GEN. / *(;BELEM JARDIM;;ST;30049069;0;04;04;002;0;0;0;57,13;57,1300010681152;31,9899997711182;36,2200012207031;-11,6786341994023;0;0;0
7896006298809;48601;ONDANSETRONA CLOR. 4 MG CT C/10 CPR ORODISP;UNIAO QUIMICA COMERCIAL;;ST;30049069;0;04;04;002;0;0;0;;23,8500003814697;19,9899997711182;4,26000022888184;369,248795706406;0;0;0
7896014679546;42403;ONDANSETRONA CLOR. 4 MG CX C/10 CPR;BLAU FARMACEUTICA S..A.;;ST;30049069;0;04;04;002;0;0;87;59,91;59,9099998474121;10;4,28999996185303;133,100235172976;5212,16998672485;870;373,229996681213
7896714292472;46854;ONDANSETRONA CLOR. 4 MG CX C/10 CPR ;NEO QUIMICA;;ST;30049069;0;04;04;002;0;0;0;25,6;25,6000003814697;19,9899997711182;2,65750002861023;652,210707654147;0;0;0
7896004790152;47168;ONDANSETRONA CLOR. 4 MG CX C/10 CPR ORODISP;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;29,73;29,7299995422363;19,9899997711182;3,80999994277954;424,671917882883;0;0;0
7898687731552;44971;ONDANSETRONA CLOR. 4 MG CX C/10 CPR ORODISP;ALTHAIA S.A. INDUSTRIA FARMACEUTICA;;ST;30049069;0;04;04;002;0;0;0;23,25;23,25;20;8,39330005645752;138,285297385653;0;0;0
7898216365562;45652;ONDANSETRONA CLOR. 4 MG CX C/10 CPR ORODISP;PHARLAB;;ST;30049069;0;04;04;002;0;0;0;27,91;27,9099998474121;19,9899997711182;4,74711132049561;321,098188382723;0;0;0
7896006297512;46401;ONDANSETRONA CLOR. 4 MG CX C/10 CPR ORODISP;UNIAO QUIMICA COMERCIAL;;ST;30049069;0;04;04;002;0;0;0;27,24;27,2399997711182;19,9899997711182;3,74000000953674;434,491971126873;0;0;0
7899547537055;48182;ONDANSETRONA CLOR. 8 MG CX 03 CT C/10 CPR ORODIS;PRATI,DONADUZZI & CIA LTDA;;ST;30049069;0;04;04;002;0;10;0;;40,9599990844727;28;11,3271999359131;147,192599745905;0;0;0
7896014679577;42404;ONDANSETRONA CLOR. 8 MG CX C/10 CPR;BLAU FARMACEUTICA S..A.;;ST;30049069;0;04;04;002;0;0;0;4520,81;4520,81005859375;28;16,2099990844727;72,7328906935031;0;0;0
7898216365586;46170;ONDANSETRONA CLOR. 8 MG CX C/10 CPR;PHARLAB;;ST;30049069;0;04;04;002;0;0;0;51,12;51,1199989318848;28;11,4624996185303;144,274817289723;0;0;0
7896714292489;46855;ONDANSETRONA CLOR. 8 MG CX C/10 CPR;NEO QUIMICA;;ST;30049069;0;04;04;002;0;0;0;48;48;28;6,29933309555054;344,491497358307;0;0;0
7896004790169;47242;ONDANSETRONA CLOR. 8 MG CX C/10 CPR;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;57,13;57,1300010681152;28;7,34375;281,276595744681;0;0;0
7899095204133;47799;ONDANSETRONA CLOR. 8 MG CX C/10 CPR;GEOLAB IND. FARMACEUTICA LTDA;;ST;30049069;0;04;04;002;0;0;0;49;49;32;5,30999994277954;502,636541333925;0;0;0
7896472521807;47894;ONDANSETRONA CLOR. 8 MG CX C/10 CPR;NOVA QUIMICA;;ST;30049069;0;04;04;002;0;10;0;57,13;57,1300010681152;28;5,19999980926514;438,461558212191;0;0;0
