COD_BARRAS,PRODUTO_ID,NOMEORDER,FORNECEDOR,LOCALIZACAO,TRIBUTACAO,NCM,ALIQUOTA_NCM,CST_PIS,CST_COFINS,NATUREZA_RECEITA_PIS_COFINS,PADRAO_COMISSAO,DESCONTO_MAXIMO,QUANTIDADEORDER,TABELA,VENDA,PROMOCAO,VALOR_ULT_COMPRA,MARGEM,TOTAL_PRVENDA,TOTAL_PRPROMOCAO,TOTAL_PRCOMPRA,VALOR
7898922218213,20895,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898922218206,20896,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898317020278,16860,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898317020261,16861,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898317020292,16863,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898317020209,16915,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898317020254,16916,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898317020247,16917,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898922218237,16862,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898922218251,16914,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,0,0,,"0.0,25",0,"9,899999619","-87,37373689",0,0,0,"0.0,25"
